----- step=70000: nr=320 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11263 (0)  (tn=80640, r=21032)
----- step=80000: nr=287 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11083 (0)  (tn=80640, r=19281)
----- step=90000: nr=267 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11012 (0)  (tn=80640, r=17392)
----- step=100000: nr=323 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11046 (0)  (tn=80640, r=16067)
----- step=110000: nr=300 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10998 (0)  (tn=80640, r=15017)
----- step=120000: nr=334 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10989 (0)  (tn=80640, r=14149)
----- step=130000: nr=319 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10884 (31)  (tn=80640, r=13237)
----- step=140000: nr=346 (6), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10812 (137)  (tn=80640, r=12394)
----- step=150000: nr=362 (8), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10588 (281)  (tn=80640, r=11573)
----- step=160000: nr=329 (2), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10388 (360)  (tn=80640, r=11027)
----- step=170000: nr=356 (1), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10357 (397)  (tn=80640, r=10104)
----- step=180000: nr=303 (7), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10336 (521)  (tn=80640, r=9016)
----- step=190000: nr=369 (14), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10412 (574)  (tn=80640, r=7811)
----- step=200000: nr=298 (9), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10350 (601)  (tn=80640, r=6820)
----- step=210000: nr=273 (28), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10345 (683)  (tn=80640, r=6954)
----- step=220000: nr=310 (24), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10243 (758)  (tn=80640, r=6514)
----- step=230000: nr=305 (18), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10214 (800)  (tn=80640, r=6448)
----- step=240000: nr=295 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10048 (868)  (tn=80640, r=6664)
----- step=250000: nr=247 (5), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9942 (914)  (tn=80640, r=6877)
----- step=260000: nr=291 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9752 (970)  (tn=80640, r=7439)
----- step=270000: nr=276 (10), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9623 (936)  (tn=80640, r=7967)
----- step=280000: nr=219 (9), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9568 (1012)  (tn=80640, r=7828)
----- step=290000: nr=219 (16), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9323 (1151)  (tn=80640, r=8224)
----- step=300000: nr=180 (12), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9280 (1216)  (tn=80640, r=8615)
----- step=310000: nr=166 (15), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=9115 (1270)  (tn=80640, r=9133)
----- step=320000: nr=165 (21), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8884 (1437)  (tn=80640, r=8937)
----- step=330000: nr=188 (32), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8817 (1432)  (tn=80640, r=9334)
----- step=340000: nr=169 (40), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8705 (1581)  (tn=80640, r=9060)
----- step=350000: nr=165 (48), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8576 (1639)  (tn=80640, r=9195)
----- step=360000: nr=174 (63), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8438 (1740)  (tn=80640, r=9767)
----- step=370000: nr=162 (62), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8266 (1831)  (tn=80640, r=9847)
----- step=380000: nr=132 (54), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8249 (1809)  (tn=80640, r=10390)
----- step=390000: nr=126 (60), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8041 (1820)  (tn=80640, r=10955)
----- step=400000: nr=135 (79), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7936 (1895)  (tn=80640, r=11729)
----- step=410000: nr=156 (89), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7856 (1909)  (tn=80640, r=11755)
----- step=420000: nr=180 (91), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7860 (2029)  (tn=80640, r=12158)
----- step=430000: nr=166 (95), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7754 (1986)  (tn=80640, r=12097)
----- step=440000: nr=142 (67), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7722 (2002)  (tn=80640, r=12529)
----- step=450000: nr=137 (81), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7682 (2073)  (tn=80640, r=12447)
----- step=460000: nr=146 (79), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7671 (2118)  (tn=80640, r=12544)
----- step=470000: nr=112 (81), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7612 (2090)  (tn=80640, r=12840)
----- step=480000: nr=138 (90), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7612 (2081)  (tn=80640, r=12652)
----- step=490000: nr=134 (96), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7641 (2076)  (tn=80640, r=12628)
----- step=500000: nr=150 (98), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7654 (2042)  (tn=80640, r=12750)
----- step=510000: nr=159 (122), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7667 (2111)  (tn=80640, r=12652)
----- step=520000: nr=170 (120), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7681 (2167)  (tn=80640, r=12189)
----- step=530000: nr=182 (144), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7604 (2244)  (tn=80640, r=11931)
----- step=540000: nr=177 (131), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7618 (2069)  (tn=80640, r=12122)
----- step=550000: nr=232 (158), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7659 (2208)  (tn=80640, r=11628)
----- step=560000: nr=261 (192), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7539 (2235)  (tn=80640, r=11561)
----- step=570000: nr=221 (161), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7682 (2047)  (tn=80640, r=11560)
----- step=580000: nr=218 (168), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7573 (2126)  (tn=80640, r=11479)
----- step=590000: nr=246 (174), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7654 (2198)  (tn=80640, r=10975)
----- step=600000: nr=322 (240), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7611 (2241)  (tn=80640, r=11074)
----- step=610000: nr=318 (249), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7650 (2256)  (tn=80640, r=10742)
----- step=620000: nr=357 (261), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7661 (2215)  (tn=80640, r=10615)
----- step=630000: nr=371 (266), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7773 (2225)  (tn=80640, r=10235)
----- step=640000: nr=334 (257), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7887 (2120)  (tn=80640, r=10090)
----- step=650000: nr=397 (308), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7934 (2153)  (tn=80640, r=9949)
----- step=660000: nr=373 (276), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7865 (2181)  (tn=80640, r=9857)
----- step=670000: nr=438 (350), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7911 (2227)  (tn=80640, r=9508)
----- step=680000: nr=429 (312), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7952 (2060)  (tn=80640, r=9236)
----- step=690000: nr=460 (344), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8071 (2107)  (tn=80640, r=9488)
----- step=700000: nr=491 (408), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7966 (2260)  (tn=80640, r=9500)
----- step=710000: nr=462 (384), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8030 (2234)  (tn=80640, r=9066)
----- step=720000: nr=528 (416), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=7931 (2209)  (tn=80640, r=8740)
----- step=730000: nr=526 (422), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8004 (2181)  (tn=80640, r=8414)
----- step=740000: nr=476 (384), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8129 (2187)  (tn=80640, r=8172)
----- step=750000: nr=548 (435), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8138 (2128)  (tn=80640, r=8106)
----- step=760000: nr=583 (475), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8091 (2252)  (tn=80640, r=7958)
----- step=770000: nr=669 (497), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8167 (2084)  (tn=80640, r=7970)
----- step=780000: nr=671 (511), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8109 (2202)  (tn=80640, r=7430)
----- step=790000: nr=780 (588), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8168 (2232)  (tn=80640, r=7063)
----- step=800000: nr=769 (592), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8159 (2199)  (tn=80640, r=6955)
----- step=810000: nr=788 (572), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8289 (2155)  (tn=80640, r=6755)
----- step=820000: nr=823 (635), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8169 (2301)  (tn=80640, r=6603)
----- step=830000: nr=814 (657), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8193 (2259)  (tn=80640, r=6555)
----- step=840000: nr=758 (605), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8278 (2170)  (tn=80640, r=6085)
----- step=850000: nr=845 (651), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8248 (2281)  (tn=80640, r=5823)
----- step=860000: nr=874 (662), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8282 (2237)  (tn=80640, r=5675)
----- step=870000: nr=863 (617), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8307 (2185)  (tn=80640, r=5654)
----- step=880000: nr=879 (614), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8481 (2084)  (tn=80640, r=5518)
----- step=890000: nr=888 (680), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8495 (2230)  (tn=80640, r=5261)
----- step=900000: nr=920 (707), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8550 (2188)  (tn=80640, r=5111)
----- step=910000: nr=927 (691), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8561 (2123)  (tn=80640, r=4915)
----- step=920000: nr=1016 (758), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8617 (2174)  (tn=80640, r=4845)
----- step=930000: nr=928 (704), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8546 (2084)  (tn=80640, r=5149)
----- step=940000: nr=984 (700), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8601 (2120)  (tn=80640, r=5171)
----- step=950000: nr=1056 (801), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8649 (2155)  (tn=80640, r=5007)
----- step=960000: nr=1168 (836), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8467 (2277)  (tn=80640, r=4870)
----- step=970000: nr=1112 (841), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8383 (2213)  (tn=80640, r=4870)
----- step=980000: nr=1137 (823), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8496 (2243)  (tn=80640, r=4755)
----- step=990000: nr=1156 (829), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8581 (2060)  (tn=80640, r=4440)
----- step=1000000: nr=1179 (814), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8598 (2086)  (tn=80640, r=4635)
----- step=1010000: nr=1183 (879), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8543 (2174)  (tn=80640, r=4489)
----- step=1020000: nr=1180 (881), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8540 (2193)  (tn=80640, r=4364)
----- step=1030000: nr=1217 (926), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8565 (2215)  (tn=80640, r=4188)
----- step=1040000: nr=1235 (944), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8557 (2225)  (tn=80640, r=4196)
----- step=1050000: nr=1259 (908), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8550 (2119)  (tn=80640, r=3988)
----- step=1060000: nr=1257 (904), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8580 (2132)  (tn=80640, r=4007)
----- step=1070000: nr=1363 (992), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8545 (2244)  (tn=80640, r=3603)
----- step=1080000: nr=1356 (978), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8713 (2176)  (tn=80640, r=3228)
----- step=1090000: nr=1413 (977), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8584 (2194)  (tn=80640, r=3189)
----- step=1100000: nr=1287 (898), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8585 (2123)  (tn=80640, r=3005)
----- step=1110000: nr=1360 (997), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8573 (2262)  (tn=80640, r=3037)
----- step=1120000: nr=1324 (961), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8643 (2140)  (tn=80640, r=3178)
----- step=1130000: nr=1366 (1044), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8589 (2288)  (tn=80640, r=3136)
----- step=1140000: nr=1321 (956), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8672 (2199)  (tn=80640, r=2993)
----- step=1150000: nr=1363 (1044), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8621 (2251)  (tn=80640, r=3102)
----- step=1160000: nr=1295 (964), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8796 (2127)  (tn=80640, r=3128)
----- step=1170000: nr=1326 (967), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8778 (2162)  (tn=80640, r=3229)
----- step=1180000: nr=1359 (1001), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8765 (2173)  (tn=80640, r=3289)
----- step=1190000: nr=1364 (1006), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8741 (2249)  (tn=80640, r=3127)
----- step=1200000: nr=1352 (1025), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8744 (2214)  (tn=80640, r=3192)
----- step=1210000: nr=1248 (965), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8648 (2108)  (tn=80640, r=3469)
----- step=1220000: nr=1218 (987), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8690 (2148)  (tn=80640, r=3859)
----- step=1230000: nr=1298 (1012), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8545 (2152)  (tn=80640, r=3783)
----- step=1240000: nr=1316 (1029), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8661 (2223)  (tn=80640, r=3566)
----- step=1250000: nr=1294 (972), hr=3 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8695 (2199)  (tn=80640, r=3032)
----- step=1260000: nr=1297 (949), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8679 (2115)  (tn=80640, r=3412)
----- step=1270000: nr=1246 (955), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8658 (2069)  (tn=80640, r=3544)
----- step=1280000: nr=1315 (1028), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8623 (2206)  (tn=80640, r=3455)
----- step=1290000: nr=1213 (994), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8612 (2174)  (tn=80640, r=3825)
----- step=1300000: nr=1230 (976), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8667 (2148)  (tn=80640, r=3534)
----- step=1310000: nr=1229 (1001), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8664 (2228)  (tn=80640, r=3770)
----- step=1320000: nr=1240 (992), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8676 (2173)  (tn=80640, r=3730)
----- step=1330000: nr=1247 (969), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8737 (2119)  (tn=80640, r=3733)
----- step=1340000: nr=1232 (976), hr=3 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8737 (2170)  (tn=80640, r=3554)
----- step=1350000: nr=1208 (965), hr=2 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8706 (2152)  (tn=80640, r=3819)
----- step=1360000: nr=1221 (930), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8663 (2129)  (tn=80640, r=3739)
----- step=1370000: nr=1229 (970), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8679 (2179)  (tn=80640, r=3756)
----- step=1380000: nr=1206 (937), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8617 (2070)  (tn=80640, r=3741)
----- step=1390000: nr=1176 (937), hr=1 (1), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8657 (2102)  (tn=80640, r=3868)
----- step=1400000: nr=1166 (943), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8766 (2105)  (tn=80640, r=3507)
----- step=1410000: nr=1169 (896), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8811 (2040)  (tn=80640, r=3597)
----- step=1420000: nr=1280 (985), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8707 (2212)  (tn=80640, r=3348)
----- step=1430000: nr=1326 (1001), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8692 (2240)  (tn=80640, r=3300)
----- step=1440000: nr=1251 (995), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8742 (2203)  (tn=80640, r=3256)
----- step=1450000: nr=1264 (995), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8668 (2209)  (tn=80640, r=3328)
----- step=1460000: nr=1339 (1024), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8640 (2227)  (tn=80640, r=3171)
----- step=1470000: nr=1202 (882), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8806 (1968)  (tn=80640, r=3128)
----- step=1480000: nr=1198 (927), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8886 (2125)  (tn=80640, r=3062)
----- step=1490000: nr=1216 (963), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8842 (2084)  (tn=80640, r=3166)
----- step=1500000: nr=1207 (927), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=8859 (2089)  (tn=80640, r=3275)
程序运行时间：4311.781 s
----- step=0: nr=0 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=0 (0)  (tn=80000, r=80000)
----- step=10000: nr=20 (0), hr=0 (0), hr_nr=0 (0), ctr1=20 (0), ctr2=20 (0), ctr3=20 (0), unit=4743 (0)  (tn=80640, r=75101)
----- step=20000: nr=45 (0), hr=1 (0), hr_nr=0 (0), ctr1=2 (0), ctr2=1 (0), ctr3=1 (0), unit=7057 (0)  (tn=80640, r=63167)
----- step=30000: nr=155 (0), hr=4 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=1 (0), unit=9966 (0)  (tn=80640, r=44600)
----- step=40000: nr=265 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11163 (0)  (tn=80640, r=33261)
----- step=50000: nr=297 (0), hr=2 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11544 (0)  (tn=80640, r=26800)
----- step=60000: nr=307 (0), hr=1 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11465 (0)  (tn=80640, r=23297)
----- step=70000: nr=320 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11263 (0)  (tn=80640, r=21032)
----- step=80000: nr=287 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11083 (0)  (tn=80640, r=19281)
----- step=90000: nr=267 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11012 (0)  (tn=80640, r=17392)
----- step=100000: nr=323 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=11046 (0)  (tn=80640, r=16067)
----- step=110000: nr=300 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10998 (0)  (tn=80640, r=15017)
----- step=120000: nr=334 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10989 (0)  (tn=80640, r=14149)
----- step=130000: nr=319 (0), hr=0 (0), hr_nr=0 (0), ctr1=0 (0), ctr2=0 (0), ctr3=0 (0), unit=10884 (31)  (tn=80640, r=13237)
